Identifiant station;Nom de la Station;Nom de la ligne;Incertitude;Recommandation de surveillance;Action(s) QAI en cours;Lien vers les mesures en direct;Durée des mesures;stop_lon;stop_lat;point_geo;pollution_unifiee;pm10;pm25;no2;o3
IDFM:463051;Balard;Métro 8;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.2783626618092008;48.83666789483108;48.83666789483108, 2.2783626618092008;pollution moyenne;;;;
IDFM:22097;Bastille;Métro 8;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3695064282002;48.853425461693256;48.853425461693256, 2.3695064282002;pollution moyenne;;;;
IDFM:22128;Belleville;Métro 2;Évaluation : campagne de mesure ponctuelle;oui;Action(s) d'amélioration de la qualité de l'air en cours;;campagne de mesure ponctuelle;2.3768306915222848;48.87231407736167;48.872314077361665, 2.3768306915222848;pollution élevée;;;;
IDFM:463129;Bercy;Métro 14;Évaluation : campagne de mesure ponctuelle;non;;;campagne de mesure ponctuelle;2.379062015227724;48.84010199803391;48.84010199803391, 2.3790620152277233;pollution faible;;;;
IDFM:22008;Bréguet-Sabin;Métro 5;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.370194668589752;48.85624405468632;48.85624405468632, 2.3701946685897517;pollution moyenne;;;;
IDFM:24683;Buttes Chaumont;Métro 7B;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.381569842088008;48.87849908839857;48.87849908839857, 2.381569842088008;pollution moyenne;;;;
IDFM:463039;Buzenval;Métro 9;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.401170769368413;48.85176243983227;48.85176243983227, 2.401170769368413;pollution moyenne;;;;
IDFM:22009;Campo-Formio;Métro 5;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;oui;Action(s) d'amélioration de la qualité de l'air en cours;;;2.358468834639247;48.83559543123327;48.835595431233266, 2.358468834639247;pollution moyenne;;;;
IDFM:21934;Charonne;Métro 9;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.3848878986690423;48.85500743705073;48.85500743705073, 2.3848878986690423;pollution moyenne;;;;
IDFM:462979;Château d'Eau;Métro 4;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.355901449780536;48.87247308911766;48.87247308911766, 2.3559014497805357;pollution faible;;;;
IDFM:463159;Châtelet;Métro 14;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.346411849769497;48.85955653272677;48.859556532726764, 2.346411849769497;pollution moyenne;;;;
IDFM:22364;Châtelet;Métro 7;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3481609912345776;48.85695346078533;48.856953460785334, 2.3481609912345776;pollution moyenne;;;;
IDFM:22237;Châtillon-Montrouge;Métro 13;;non;;https://www.airparif.fr/;;2.301717705004608;48.81075140670139;48.81075140670139, 2.301717705004608;;;;;
IDFM:463144;Chaussée d'Antin - La Fayette;Métro 9;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.333970457594147;48.87280723715393;48.87280723715393, 2.333970457594147;pollution moyenne;;;;
IDFM:22150;Cité;Métro 4;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3472322349319112;48.85493384910671;48.85493384910671, 2.3472322349319112;pollution moyenne;;;;
IDFM:462949;Convention;Métro 12;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.2963913864809173;48.83713505380496;48.83713505380496, 2.2963913864809173;pollution moyenne;;;;
IDFM:463155;Crimée;Métro 7;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3770380600019925;48.890814345621656;48.890814345621656, 2.3770380600019925;pollution moyenne;;;;
IDFM:463169;Daumesnil;Métro 6;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.396146067915452;48.839537421644565;48.839537421644565, 2.3961460679154514;pollution moyenne;;;;
IDFM:463075;Dugommier;Métro 6;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3895997700798097;48.83903652832887;48.83903652832887, 2.3895997700798097;pollution moyenne;;;;
IDFM:22171;Dupleix;Métro 6;;non;;https://www.airparif.fr/;;2.293663726731039;48.8504116258067;48.8504116258067, 2.293663726731039;;;;;
